hospital_name,last_updated_on,as_of_date,version,hospital_location,hospital_address,license_number|NJ,financial_aid_policy,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,
CARRIER HOSPITAL LEAVE REHAB RTC,1000000055,CDM,1001,RC,,,Facility,Inpatient,,,1870,748,CLOVER,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER THERAPEUTIC LEAVE IRT,1000000059,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,CLOVER,ALL PRODUCTS,,,,,,275,1896,25,,,
CARRIER HOSPITAL LEAVE IRT,1000000060,CDM,1001,RC,,,Facility,Inpatient,,,2365,946,CLOVER,ALL PRODUCTS,,,,,,275,1896,25,,,
IMM ADM SARSCV2 30MCG TRS-SUCR 2ND DOSE READY TO USE PFIZER,200052A001,CDM,771,RC,0052A,HCPCS,Facility,Outpatient,,,138,55.2,CLOVER,ALL PRODUCTS,,20.01,,0.145,20.01,20.01,77.556,4,Percent of Total Billed Charges,,
COLLECTION VENOUS BLOOD VENIPUNCTURE,2036415001,CDM,300,RC,36415,HCPCS,Facility,Outpatient,,,47,18.8,CLOVER,ALL PRODUCTS,,6.815,,0.145,6.815,6.815,26.414,4,Percent of Total Billed Charges,,
RADEX FACIAL BONES COMPLETE MINIMUM 3 VIEWS,2070150001,CDM,320,RC,70150,HCPCS,Facility,Outpatient,,,545,218,CLOVER,ALL PRODUCTS,,79.025,,0.145,79.025,79.025,79.025,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION NECK SOFT TISSUE,2070360001,CDM,320,RC,70360,HCPCS,Facility,Outpatient,,,435,174,CLOVER,ALL PRODUCTS,,63.075,,0.145,63.075,63.075,63.075,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAM CHEST SINGLE VIEW,2071045001,CDM,324,RC,71045,HCPCS,Facility,Outpatient,,,429,171.6,CLOVER,ALL PRODUCTS,,62.205,,0.145,62.205,62.205,62.205,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAM CHEST 2 VIEWS,2071046001,CDM,324,RC,71046,HCPCS,Facility,Outpatient,,,497,198.8,CLOVER,ALL PRODUCTS,,72.065,,0.145,72.065,72.065,72.065,1,Percent of Total Billed Charges,,
RADEX RIBS UNI W/POSTEROANT CH MINIMUM 3 VIEWS,2071101001,CDM,320,RC,71101,HCPCS,Facility,Outpatient,,,724,289.6,CLOVER,ALL PRODUCTS,,104.98,,0.145,104.98,104.98,104.98,1,Percent of Total Billed Charges,,
RADEX RIBS BI W/POSTEROANT CH MINIMUM 4 VIEWS,2071111001,CDM,320,RC,71111,HCPCS,Facility,Outpatient,,,803,321.2,CLOVER,ALL PRODUCTS,,116.435,,0.145,116.435,116.435,116.435,1,Percent of Total Billed Charges,,
RADEX SPINE CRV COMPL W/OBLQ&FLEX&/XTN STDS,2072052001,CDM,320,RC,72052,HCPCS,Facility,Outpatient,,,858,343.2,CLOVER,ALL PRODUCTS,,124.41,,0.145,124.41,124.41,124.41,1,Percent of Total Billed Charges,,
RADEX SPINE THORACIC 2 VIEWS,2072070001,CDM,320,RC,72070,HCPCS,Facility,Outpatient,,,647,258.8,CLOVER,ALL PRODUCTS,,93.815,,0.145,93.815,93.815,93.815,1,Percent of Total Billed Charges,,
RADEX SPINE THORACIC 3 VIEWS,2072072001,CDM,320,RC,72072,HCPCS,Facility,Outpatient,,,674,269.6,CLOVER,ALL PRODUCTS,,97.73,,0.145,97.73,97.73,97.73,1,Percent of Total Billed Charges,,
RADEX SPINE LUMBOSACRAL MINIMUM 4 VIEWS,2072110001,CDM,320,RC,72110,HCPCS,Facility,Outpatient,,,1019,407.6,CLOVER,ALL PRODUCTS,,147.755,,0.145,147.755,147.755,147.755,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION PELVIS 1/2 VIEWS,2072170001,CDM,320,RC,72170,HCPCS,Facility,Outpatient,,,481,192.4,CLOVER,ALL PRODUCTS,,69.745,,0.145,69.745,69.745,69.745,1,Percent of Total Billed Charges,,
RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,2072220001,CDM,320,RC,72220,HCPCS,Facility,Outpatient,,,560,224,CLOVER,ALL PRODUCTS,,81.2,,0.145,81.2,81.2,81.2,1,Percent of Total Billed Charges,,
RADEX SHOULDER COMPLETE MINIMUM 2 VIEWS,2073030001,CDM,320,RC,73030,HCPCS,Facility,Outpatient,,,688,275.2,CLOVER,ALL PRODUCTS,,99.76,,0.145,99.76,99.76,99.76,1,Percent of Total Billed Charges,,
RADEX ELBOW 2 VIEWS,2073070001,CDM,320,RC,73070,HCPCS,Facility,Outpatient,,,420,168,CLOVER,ALL PRODUCTS,,60.9,,0.145,60.9,60.9,60.9,1,Percent of Total Billed Charges,,
RADEX ELBOW COMPLETE MINIMUM 3 VIEWS,2073080001,CDM,320,RC,73080,HCPCS,Facility,Outpatient,,,578,231.2,CLOVER,ALL PRODUCTS,,83.81,,0.145,83.81,83.81,83.81,1,Percent of Total Billed Charges,,
RADEX FOREARM 2 VIEWS,2073090001,CDM,320,RC,73090,HCPCS,Facility,Outpatient,,,578,231.2,CLOVER,ALL PRODUCTS,,83.81,,0.145,83.81,83.81,83.81,1,Percent of Total Billed Charges,,
RADEX WRIST 2 VIEWS,2073100001,CDM,320,RC,73100,HCPCS,Facility,Outpatient,,,477,190.8,CLOVER,ALL PRODUCTS,,69.165,,0.145,69.165,69.165,69.165,1,Percent of Total Billed Charges,,
RADEX WRIST COMPLETE MINIMUM 3 VIEWS,2073110001,CDM,320,RC,73110,HCPCS,Facility,Outpatient,,,600,240,CLOVER,ALL PRODUCTS,,87,,0.145,87,87,87,1,Percent of Total Billed Charges,,
RADEX HAND 2 VIEWS,2073120001,CDM,320,RC,73120,HCPCS,Facility,Outpatient,,,550,220,CLOVER,ALL PRODUCTS,,79.75,,0.145,79.75,79.75,79.75,1,Percent of Total Billed Charges,,
RADEX HAND MINIMUM 3 VIEWS,2073130001,CDM,320,RC,73130,HCPCS,Facility,Outpatient,,,550,220,CLOVER,ALL PRODUCTS,,79.75,,0.145,79.75,79.75,79.75,1,Percent of Total Billed Charges,,
RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS,2073502001,CDM,320,RC,73502,HCPCS,Facility,Outpatient,,,473,189.2,CLOVER,ALL PRODUCTS,,68.585,,0.145,68.585,68.585,68.585,1,Percent of Total Billed Charges,,
RADEX HIPS BILATERAL WITH PELVIS MINIMUM 5 VIEWS,2073523001,CDM,320,RC,73523,HCPCS,Facility,Outpatient,,,781,312.4,CLOVER,ALL PRODUCTS,,113.245,,0.145,113.245,113.245,113.245,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS,2073552001,CDM,320,RC,73552,HCPCS,Facility,Outpatient,,,477,190.8,CLOVER,ALL PRODUCTS,,69.165,,0.145,69.165,69.165,69.165,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION KNEE 1/2 VIEWS,2073560001,CDM,320,RC,73560,HCPCS,Facility,Outpatient,,,549,219.6,CLOVER,ALL PRODUCTS,,79.605,,0.145,79.605,79.605,79.605,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION KNEE 3 VIEWS,2073562001,CDM,320,RC,73562,HCPCS,Facility,Outpatient,,,688,275.2,CLOVER,ALL PRODUCTS,,99.76,,0.145,99.76,99.76,99.76,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAM KNEE COMPLETE 4/MORE VIEWS,2073564001,CDM,320,RC,73564,HCPCS,Facility,Outpatient,,,809,323.6,CLOVER,ALL PRODUCTS,,117.305,,0.145,117.305,117.305,117.305,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION TIBIA & FIBULA 2 VIEWS,2073590001,CDM,320,RC,73590,HCPCS,Facility,Outpatient,,,561,224.4,CLOVER,ALL PRODUCTS,,81.345,,0.145,81.345,81.345,81.345,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION ANKLE 2 VIEWS,2073600001,CDM,320,RC,73600,HCPCS,Facility,Outpatient,,,485,194,CLOVER,ALL PRODUCTS,,70.325,,0.145,70.325,70.325,70.325,1,Percent of Total Billed Charges,,
RADEX ANKLE COMPLETE MINIMUM 3 VIEWS,2073610001,CDM,320,RC,73610,HCPCS,Facility,Outpatient,,,633,253.2,CLOVER,ALL PRODUCTS,,91.785,,0.145,91.785,91.785,91.785,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAMINATION FOOT 2 VIEWS,2073620001,CDM,320,RC,73620,HCPCS,Facility,Outpatient,,,502,200.8,CLOVER,ALL PRODUCTS,,72.79,,0.145,72.79,72.79,72.79,1,Percent of Total Billed Charges,,
RADEX FOOT COMPLETE MINIMUM 3 VIEWS,2073630001,CDM,320,RC,73630,HCPCS,Facility,Outpatient,,,649,259.6,CLOVER,ALL PRODUCTS,,94.105,,0.145,94.105,94.105,94.105,1,Percent of Total Billed Charges,,
RADEX CALCANEUS MINIMUM 2 VIEWS,2073650001,CDM,320,RC,73650,HCPCS,Facility,Outpatient,,,451,180.4,CLOVER,ALL PRODUCTS,,65.395,,0.145,65.395,65.395,65.395,1,Percent of Total Billed Charges,,
RADEX TOE MINIMUM 2 VIEWS,2073660001,CDM,320,RC,73660,HCPCS,Facility,Outpatient,,,495,198,CLOVER,ALL PRODUCTS,,71.775,,0.145,71.775,71.775,71.775,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAM ABDOMEN 1 VIEW,2074018001,CDM,320,RC,74018,HCPCS,Facility,Outpatient,,,473,189.2,CLOVER,ALL PRODUCTS,,68.585,,0.145,68.585,68.585,68.585,1,Percent of Total Billed Charges,,
RADIOLOGIC EXAM ABDOMEN 2 VIEWS,2074019001,CDM,320,RC,74019,HCPCS,Facility,Outpatient,,,589,235.6,CLOVER,ALL PRODUCTS,,85.405,,0.145,85.405,85.405,85.405,1,Percent of Total Billed Charges,,
GLUC BLD GLUC MNTR DEV CLEARED FDA SPEC HOME USE,2082962001,CDM,301,RC,82962,HCPCS,Facility,Outpatient,,,83,33.2,CLOVER,ALL PRODUCTS,,12.035,,0.145,12.035,2.34,46.646,5,Percent of Total Billed Charges,,
GONADOTROPIN CHORIONIC QUALITATIVE POC,2084703001,CDM,300,RC,84703,HCPCS,Facility,Outpatient,,,182,72.8,CLOVER,ALL PRODUCTS,,26.39,,0.145,26.39,9.1,102.284,5,Percent of Total Billed Charges,,
POC SARS-COV-2 COVID-19 BY ANTIGEN DETECTION,2087426001,CDM,300,RC,87426,HCPCS,Facility,Outpatient,,,124,49.6,CLOVER,ALL PRODUCTS,,17.98,,0.145,17.98,14.13,69.688,6,Percent of Total Billed Charges,,
PSYCHIATRIC DIAGNOSTIC EVALUATION,2090791001,CDM,900,RC,90791,HCPCS,Facility,Outpatient,,,790,316,CLOVER,ALL PRODUCTS,,114.55,,0.145,114.55,114.55,395,10,Percent of Total Billed Charges,,
PSYCHIATRIC DIAGNOSTIC EVAL W/MEDICAL SERVICES,2090792001,CDM,900,RC,90792,HCPCS,Facility,Outpatient,,,836,334.4,CLOVER,ALL PRODUCTS,,121.22,,0.145,121.22,121.22,608,10,Percent of Total Billed Charges,,
PSYCHOTHERAPY W/PATIENT 30 MINUTES,2090832001,CDM,914,RC,90832,HCPCS,Facility,Outpatient,,,452,180.8,CLOVER,ALL PRODUCTS,,65.54,,0.145,65.54,65.54,328.8,14,Percent of Total Billed Charges,,
PSYCHOTHERAPY W/PATIENT 45 MINUTES,2090834001,CDM,914,RC,90834,HCPCS,Facility,Outpatient,,,539,215.6,CLOVER,ALL PRODUCTS,,78.155,,0.145,78.155,75.03,392,14,Percent of Total Billed Charges,,
PSYCHOTHERAPY W/PATIENT 60 MINUTES,2090837001,CDM,914,RC,90837,HCPCS,Facility,Outpatient,,,605,242,CLOVER,ALL PRODUCTS,,87.725,,0.145,87.725,75.03,440,14,Percent of Total Billed Charges,,
FAMILY PSYCHOTHERAPY W/PATIENT PRESENT 50 MINS,2090847001,CDM,916,RC,90847,HCPCS,Facility,Outpatient,,,497,198.8,CLOVER,ALL PRODUCTS,,72.065,,0.145,72.065,60,361.6,14,Percent of Total Billed Charges,,
GROUP PSYCHOTHERAPY,2090853001,CDM,915,RC,90853,HCPCS,Facility,Outpatient,,,413,165.2,CLOVER,ALL PRODUCTS,,59.885,,0.145,59.885,27.5,300,14,Percent of Total Billed Charges,,
ELECTROCONVULSIVE THERAPY,2090870001,CDM,901,RC,90870,HCPCS,Facility,Outpatient,,,1870,748,CLOVER,ALL PRODUCTS,,271.15,,0.145,271.15,375,1783,12,Percent of Total Billed Charges,,
PB ELECTROCONVULSIVE THERAPY,2090870002,CDM,901,RC,90870,HCPCS,Facility,Outpatient,,,703,281.2,CLOVER,ALL PRODUCTS,,101.935,,0.145,101.935,101.935,453,13,Percent of Total Billed Charges,,
ECG ROUTINE ECG W/LEAST 12 LDS TRCG ONLY W/O I&R,2093005001,CDM,730,RC,93005,HCPCS,Facility,Outpatient,,,359,143.6,CLOVER,ALL PRODUCTS,,52.055,,0.145,52.055,52.055,267.096,6,Percent of Total Billed Charges,,
APPLICATION MODALITY 1/> AREAS HOT/COLD PACKS,2097010001,CDM,420,RC,97010,HCPCS,Facility,Outpatient,,,66,26.4,CLOVER,ALL PRODUCTS,,9.57,,0.145,9.57,9.57,9.57,3,Percent of Total Billed Charges,,
THERAPEUTIC PX 1/> AREAS EACH 15 MIN EXERCISES,2097110001,CDM,420,RC,97110,HCPCS,Facility,Outpatient,,,231,92.4,CLOVER,ALL PRODUCTS,,33.495,,0.145,33.495,33.495,33.495,3,Percent of Total Billed Charges,,
THER PX 1/> AREAS EACH 15 MIN NEUROMUSC REEDUCAJ,2097112001,CDM,420,RC,97112,HCPCS,Facility,Outpatient,,,200,80,CLOVER,ALL PRODUCTS,,29,,0.145,29,29,29,3,Percent of Total Billed Charges,,
THER PX 1/> AREAS EA 15 MIN GAIT TRAINJ W/STAIR,2097116001,CDM,420,RC,97116,HCPCS,Facility,Outpatient,,,193,77.2,CLOVER,ALL PRODUCTS,,27.985,,0.145,27.985,27.985,27.985,3,Percent of Total Billed Charges,,
THER PX 1/> AREAS EACH 15 MINUTES MASSAGE,2097124001,CDM,420,RC,97124,HCPCS,Facility,Outpatient,,,198,79.2,CLOVER,ALL PRODUCTS,,28.71,,0.145,28.71,28.71,28.71,3,Percent of Total Billed Charges,,
MANUAL THERAPY TQS 1/> REGIONS EACH 15 MINUTES,2097140001,CDM,420,RC,97140,HCPCS,Facility,Outpatient,,,202,80.8,CLOVER,ALL PRODUCTS,,29.29,,0.145,29.29,29.29,29.29,3,Percent of Total Billed Charges,,
THERAPEUTIC PROCEDURES GROUP 2/> INDIVIDUALS,2097150001,CDM,420,RC,97150,HCPCS,Facility,Outpatient,,,150,60,CLOVER,ALL PRODUCTS,,21.75,,0.145,21.75,21.75,21.75,3,Percent of Total Billed Charges,,
PHYSICAL THERAPY EVALUATION LOW COMPLEX 20 MINS,2097161001,CDM,424,RC,97161,HCPCS,Facility,Outpatient,,,396,158.4,CLOVER,ALL PRODUCTS,,57.42,,0.145,57.42,57.42,57.42,3,Percent of Total Billed Charges,,
PHYSICAL THERAPY EVALUATION MOD COMPLEX 30 MINS,2097162001,CDM,424,RC,97162,HCPCS,Facility,Outpatient,,,453,181.2,CLOVER,ALL PRODUCTS,,65.685,,0.145,65.685,65.685,65.685,3,Percent of Total Billed Charges,,
PHYSICAL THERAPY EVALUATION HIGH COMPLEX 45 MINS,2097163001,CDM,424,RC,97163,HCPCS,Facility,Outpatient,,,611,244.4,CLOVER,ALL PRODUCTS,,88.595,,0.145,88.595,88.595,88.595,3,Percent of Total Billed Charges,,
THER ACTV DIR PT CONTACT BY PROVIDER EACH 15 MIN,2097530001,CDM,420,RC,97530,HCPCS,Facility,Outpatient,,,188,75.2,CLOVER,ALL PRODUCTS,,27.26,,0.145,27.26,27.26,27.26,3,Percent of Total Billed Charges,,
SELF-CARE/HOME MGMT TRAINING EACH 15 MINUTES,2097535001,CDM,420,RC,97535,HCPCS,Facility,Outpatient,,,196,78.4,CLOVER,ALL PRODUCTS,,28.42,,0.145,28.42,28.42,28.42,3,Percent of Total Billed Charges,,
ORTHOTICS MGMT & TRAINJ INITIAL ENCTR EA 15 MINS,2097760001,CDM,420,RC,97760,HCPCS,Facility,Outpatient,,,250,100,CLOVER,ALL PRODUCTS,,36.25,,0.145,36.25,36.25,36.25,3,Percent of Total Billed Charges,,
ORTHOTICS/PROSTH MGMT &/TRAINJ SBSQ ENCTR 15 MIN,2097763001,CDM,420,RC,97763,HCPCS,Facility,Outpatient,,,206,82.4,CLOVER,ALL PRODUCTS,,29.87,,0.145,29.87,29.87,29.87,3,Percent of Total Billed Charges,,
OFFICE/OUTPATIENT NEW LOW MDM 30-44 MINUTES,2099203001,CDM,900,RC,99203,HCPCS,Facility,Outpatient,,,523,209.2,CLOVER,ALL PRODUCTS,,75.835,,0.145,75.835,60.06,261.5,10,Percent of Total Billed Charges,,
OFFICE/OUTPATIENT ESTABLISHED MOD MDM 30-39 MIN,2099214001,CDM,900,RC,99214,HCPCS,Facility,Outpatient,,,495,198,CLOVER,ALL PRODUCTS,,71.775,,0.145,71.775,53.25,247.5,11,Percent of Total Billed Charges,,
1ST HOSPITAL IP/OBS CARE SF/LOW MDM 40 MINUTES,2099221001,CDM,900,RC,99221,HCPCS,Facility,Outpatient,,,164,65.6,CLOVER,ALL PRODUCTS,,23.78,,0.145,23.78,23.78,270.5,9,Percent of Total Billed Charges,,
INITIAL HOSPITAL CARE/DAY 30 MINUTES,2099221001A,CDM,900,RC,99221,HCPCS,Facility,Outpatient,,,164,65.6,CLOVER,ALL PRODUCTS,,23.78,,0.145,23.78,23.78,270.5,10,Percent of Total Billed Charges,,
SBSQ HOSPITAL CARE/DAY 15 MINUTES,2099231001,CDM,900,RC,99231,HCPCS,Facility,Outpatient,,,103,41.2,CLOVER,ALL PRODUCTS,,14.935,,0.145,14.935,14.935,104.32,5,Percent of Total Billed Charges,,
SBSQ HOSPITAL IP/OBS CARE SF/LOW MDM 25 MINUTES,2099231001A,CDM,900,RC,99231,HCPCS,Facility,Outpatient,,,103,41.2,CLOVER,ALL PRODUCTS,,14.935,,0.145,14.935,14.935,104.32,6,Percent of Total Billed Charges,,
SBSQ HOSPITAL CARE/DAY 25 MINUTES,2099232001,CDM,900,RC,99232,HCPCS,Facility,Outpatient,,,133,53.2,CLOVER,ALL PRODUCTS,,19.285,,0.145,19.285,19.285,191.76,5,Percent of Total Billed Charges,,
SBSQ HOSPITAL IP/OBS CARE MOD MDM 35 MINUTES,2099232001A,CDM,900,RC,99232,HCPCS,Facility,Outpatient,,,133,53.2,CLOVER,ALL PRODUCTS,,19.285,,0.145,19.285,19.285,191.76,6,Percent of Total Billed Charges,,
HOSPITAL DISCHARGE DAY MANAGEMENT 30 MIN/<,2099238001,CDM,900,RC,99238,HCPCS,Facility,Outpatient,,,121,48.4,CLOVER,ALL PRODUCTS,,17.545,,0.145,17.545,17.545,194.29,6,Percent of Total Billed Charges,,
ADMIN. INFLUENZA VIRUS VACCINE,20G0008001,CDM,771,RC,G0008,HCPCS,Facility,Outpatient,,,99,39.6,CLOVER,ALL PRODUCTS,,14.355,,0.145,14.355,14.355,14.355,2,Percent of Total Billed Charges,,
ELECTRIC STIM UNATTENDED,20G0283001,CDM,420,RC,G0283,HCPCS,Facility,Outpatient,,,147,58.8,CLOVER,ALL PRODUCTS,,21.315,,0.145,21.315,21.315,21.315,2,Percent of Total Billed Charges,,
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001,CDM,906,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,CLOVER,ALL PRODUCTS,,119.915,,0.145,119.915,109.48,387,24,Percent of Total Billed Charges,,
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001A,CDM,915,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,CLOVER,ALL PRODUCTS,,119.915,,0.145,119.915,27.5,413.5,10,Percent of Total Billed Charges,,
ALCOHOL AND/OR DRUG SERVICES IOP,20H0015001B,CDM,916,RC,H0015,HCPCS,Facility,Outpatient,,,827,330.8,CLOVER,ALL PRODUCTS,,119.915,,0.145,119.915,109.48,413.5,11,Percent of Total Billed Charges,,
INTENSIVE OUTPATIENT PSYCHIATRIC SERVICES PER DIEM,20S9480001,CDM,911,RC,S9480,HCPCS,Facility,Outpatient,,,1023,409.2,CLOVER,ALL PRODUCTS,,148.335,,0.145,148.335,148.335,511.5,6,Percent of Total Billed Charges,,
CRISIS INTERVENTION MENTAL HEALTH SERVICES PER HOUR,20S9484001,CDM,911,RC,S9484,HCPCS,Facility,Outpatient,,,30,12,CLOVER,ALL PRODUCTS,,4.35,,0.145,4.35,4.35,15,5,Percent of Total Billed Charges,,
VENIPUNCTURE (LOP),3100000085,CDM,301,RC,36415,HCPCS,Facility,Outpatient,,,47,18.8,CLOVER,ALL PRODUCTS,,6.815,,0.145,6.815,34.968,34.968,5,Percent of Total Billed Charges,,
HEPATITIS A ANTIBODY TOTAL,3100000128,CDM,302,RC,86708,HCPCS,Facility,Outpatient,,,161,64.4,CLOVER,ALL PRODUCTS,,23.345,,0.145,23.345,23.345,23.345,2,Percent of Total Billed Charges,,
AMMONIA.,3100000142,CDM,301,RC,82140,HCPCS,Facility,Outpatient,,,183,73.2,CLOVER,ALL PRODUCTS,,26.535,,0.145,26.535,26.535,26.535,2,Percent of Total Billed Charges,,
C-REACTIVE PROTEIN,3100000216,CDM,302,RC,86140,HCPCS,Facility,Outpatient,,,108,43.2,CLOVER,ALL PRODUCTS,,15.66,,0.145,15.66,15.66,15.66,2,Percent of Total Billed Charges,,
HEPATIC FUNCTION PANEL QST,3500000001,CDM,300,RC,80076,HCPCS,Facility,Outpatient,,,167,66.8,CLOVER,ALL PRODUCTS,,24.215,,0.145,24.215,7,24.215,3,Percent of Total Billed Charges,,
AMYLASE QST,3500000005,CDM,300,RC,82150,HCPCS,Facility,Outpatient,,,138,55.2,CLOVER,ALL PRODUCTS,,20.01,,0.145,20.01,20.01,20.01,2,Percent of Total Billed Charges,,
HCG TOTAL QN QST,3500000007,CDM,300,RC,84702,HCPCS,Facility,Outpatient,,,220,88,CLOVER,ALL PRODUCTS,,31.9,,0.145,31.9,163.68,163.68,5,Percent of Total Billed Charges,,
CREATINE KINASE TOTAL QST,3500000014,CDM,300,RC,82550,HCPCS,Facility,Outpatient,,,123,49.2,CLOVER,ALL PRODUCTS,,17.835,,0.145,17.835,17.835,17.835,2,Percent of Total Billed Charges,,
ELECTROLYTE PANEL QST,3500000019,CDM,300,RC,80051,HCPCS,Facility,Outpatient,,,119,47.6,CLOVER,ALL PRODUCTS,,17.255,,0.145,17.255,17.255,17.255,2,Percent of Total Billed Charges,,
GGT QST,3500000020,CDM,300,RC,82977,HCPCS,Facility,Outpatient,,,121,48.4,CLOVER,ALL PRODUCTS,,17.545,,0.145,17.545,17.545,17.545,2,Percent of Total Billed Charges,,
GLUCOSE QST,3500000022,CDM,300,RC,82947,HCPCS,Facility,Outpatient,,,48,19.2,CLOVER,ALL PRODUCTS,,6.96,,0.145,6.96,6.96,6.96,2,Percent of Total Billed Charges,,
HEMOGLOBIN A1C QST,3500000026,CDM,300,RC,83036,HCPCS,Facility,Outpatient,,,55,22,CLOVER,ALL PRODUCTS,,7.975,,0.145,7.975,7.975,7.975,2,Percent of Total Billed Charges,,
LIPASE QST,3500000028,CDM,300,RC,83690,HCPCS,Facility,Outpatient,,,132,52.8,CLOVER,ALL PRODUCTS,,19.14,,0.145,19.14,19.14,19.14,2,Percent of Total Billed Charges,,
MAGNESIUM QST,3500000029,CDM,300,RC,83735,HCPCS,Facility,Outpatient,,,138,55.2,CLOVER,ALL PRODUCTS,,20.01,,0.145,20.01,20.01,20.01,2,Percent of Total Billed Charges,,
PHOSPHATE AS PHOSPHORUS QST,3500000031,CDM,300,RC,84100,HCPCS,Facility,Outpatient,,,80,32,CLOVER,ALL PRODUCTS,,11.6,,0.145,11.6,11.6,11.6,2,Percent of Total Billed Charges,,
COMPREHENSIVE METABOLIC PANEL QST,3500000044,CDM,300,RC,80053,HCPCS,Facility,Outpatient,,,341,136.4,CLOVER,ALL PRODUCTS,,49.445,,0.145,49.445,253.704,253.704,5,Percent of Total Billed Charges,,
LIPID PANEL STANDARD QST,3500000049,CDM,300,RC,80061,HCPCS,Facility,Outpatient,,,255,102,CLOVER,ALL PRODUCTS,,36.975,,0.145,36.975,36.975,36.975,2,Percent of Total Billed Charges,,
CBC INCLUDES DIFF AND PLT QST,3500000051,CDM,300,RC,85025,HCPCS,Facility,Outpatient,,,149,59.6,CLOVER,ALL PRODUCTS,,21.605,,0.145,21.605,110.856,110.856,5,Percent of Total Billed Charges,,
CBC H/H RBC INDICES WBC PLT QST,3500000055,CDM,300,RC,85027,HCPCS,Facility,Outpatient,,,106,42.4,CLOVER,ALL PRODUCTS,,15.37,,0.145,15.37,78.864,78.864,5,Percent of Total Billed Charges,,
PROTHROMBIN TIME-INR QST,3500000056,CDM,300,RC,85610,HCPCS,Facility,Outpatient,,,97,38.8,CLOVER,ALL PRODUCTS,,14.065,,0.145,14.065,14.065,14.065,2,Percent of Total Billed Charges,,
ANA SCREEN IFA WITH REFL TITER AND PATTERN QST,3500000057,CDM,300,RC,86038,HCPCS,Facility,Outpatient,,,254,101.6,CLOVER,ALL PRODUCTS,,36.83,,0.145,36.83,36.83,36.83,2,Percent of Total Billed Charges,,
RPR DX WITH REFL TITER AND CONFIRMATORY TESTING QST,3500000058,CDM,300,RC,86592,HCPCS,Facility,Outpatient,,,83,33.2,CLOVER,ALL PRODUCTS,,12.035,,0.145,12.035,12.035,12.035,2,Percent of Total Billed Charges,,
FTA-ABS QST,3500000066,CDM,300,RC,86780,HCPCS,Facility,Outpatient,,,92,36.8,CLOVER,ALL PRODUCTS,,13.34,,0.145,13.34,13.34,13.34,2,Percent of Total Billed Charges,,
FERRITIN QST,3500000067,CDM,300,RC,82728,HCPCS,Facility,Outpatient,,,210,84,CLOVER,ALL PRODUCTS,,30.45,,0.145,30.45,30.45,30.45,2,Percent of Total Billed Charges,,
FOLATE SERUM QST,3500000068,CDM,300,RC,82746,HCPCS,Facility,Outpatient,,,196,78.4,CLOVER,ALL PRODUCTS,,28.42,,0.145,28.42,28.42,28.42,2,Percent of Total Billed Charges,,
HCG TOTAL QL QST,3500000069,CDM,300,RC,84703,HCPCS,Facility,Outpatient,,,182,72.8,CLOVER,ALL PRODUCTS,,26.39,,0.145,26.39,135.408,135.408,5,Percent of Total Billed Charges,,
T3 FREE QST,3500000072,CDM,300,RC,84481,HCPCS,Facility,Outpatient,,,259,103.6,CLOVER,ALL PRODUCTS,,37.555,,0.145,37.555,37.555,37.555,2,Percent of Total Billed Charges,,
T4 FREE QST,3500000073,CDM,300,RC,84439,HCPCS,Facility,Outpatient,,,162,64.8,CLOVER,ALL PRODUCTS,,23.49,,0.145,23.49,120.528,120.528,5,Percent of Total Billed Charges,,
T4 THYROXINE TOTAL QST,3500000074,CDM,300,RC,84436,HCPCS,Facility,Outpatient,,,128,51.2,CLOVER,ALL PRODUCTS,,18.56,,0.145,18.56,95.232,95.232,5,Percent of Total Billed Charges,,
TSH QST,3500000075,CDM,300,RC,84443,HCPCS,Facility,Outpatient,,,266,106.4,CLOVER,ALL PRODUCTS,,38.57,,0.145,38.57,197.904,197.904,5,Percent of Total Billed Charges,,
